generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:58.283003+00:00,42,train,blend_dl03_xgb01_lgbm06,0.5,default_0.5,0.9234034020653009,0.9188786466898364,0.9690857681432611,0.8396211007675976,0.8997199859992999,17677,12246,0.9774991070230054,0.9716798864095395,0.0909692545234898,17349,328,1964,10282,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.315315+00:00,42,val,blend_dl03_xgb01_lgbm06,0.5,default_0.5,0.8682363948230157,0.8588226316779601,0.9170182841068917,0.7454268292682927,0.8223670380491906,3789,2624,0.9161108616727497,0.9076333985180083,0.11038061750416349,3612,177,668,1956,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.335908+00:00,42,test,blend_dl03_xgb01_lgbm06,0.5,default_0.5,0.8674567285201934,0.8581214779259763,0.9137126865671642,0.7465701219512195,0.8217281879194631,3789,2624,0.9135174067744241,0.9007680366889329,0.11200967657385104,3604,185,665,1959,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.385855+00:00,42,train,blend_dl03_xgb02_lgbm05,0.5,default_0.5,0.9185576312535508,0.9136172866886316,0.9661629122706967,0.830066960640209,0.8929591074801247,17677,12246,0.9740305585731054,0.9677263294623104,0.09397682198987817,17321,356,2081,10165,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.440424+00:00,42,val,blend_dl03_xgb02_lgbm05,0.5,default_0.5,0.8682363948230157,0.8587248762457513,0.9185882352941176,0.7439024390243902,0.8220678037481575,3789,2624,0.9158678604303858,0.9073344384956953,0.11096426473808294,3616,173,672,1952,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.473962+00:00,42,test,blend_dl03_xgb02_lgbm05,0.5,default_0.5,0.8669889287385,0.8575596507755467,0.9139784946236559,0.745045731707317,0.820911190426202,3789,2624,0.9128693699347921,0.9002564891156687,0.1127765496971937,3605,184,669,1955,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.493018+00:00,42,train,blend_dl03_xgb03_lgbm04,0.5,default_0.5,0.9129766400427765,0.9075351212663905,0.9627567671338069,0.8190429528009145,0.885104129897635,17677,12246,0.9699353486596004,0.9631590635749825,0.09708350842889338,17289,388,2216,10030,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.526667+00:00,42,val,blend_dl03_xgb03_lgbm04,0.5,default_0.5,0.8671448619990644,0.8574678027484921,0.9183191690273843,0.741234756097561,0.8203289751159848,3789,2624,0.915494105208273,0.906885476771523,0.11160746655901145,3616,173,679,1945,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.554818+00:00,42,test,blend_dl03_xgb03_lgbm04,0.5,default_0.5,0.8641821300483393,0.8546286883976411,0.9086247086247087,0.7427591463414634,0.8173621304256657,3789,2624,0.9120586952603492,0.8995525633703277,0.113602695743633,3593,196,675,1949,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.625310+00:00,42,train,blend_dl03_xgb04_lgbm03,0.5,default_0.5,0.90799719279484,0.9021035264891584,0.9592646347363328,0.8095704719908542,0.8780833444045879,17677,12246,0.9651170170117928,0.9579082698716632,0.10028931973236853,17256,421,2332,9914,weighted_blend,not_saved_candidate_probability
2026-06-01T08:38:58.712087+00:00,42,val,blend_dl03_xgb04_lgbm03,0.5,default_0.5,0.8665211289568064,0.8567235576120001,0.9185606060606061,0.739329268292683,0.8192567567567568,3789,2624,0.9148832829628772,0.9062154000545782,0.11231022585531736,3617,172,684,1940,weighted_blend,not_saved_candidate_probability
