row_id,basic_char_len_log,basic_word_count_log,basic_rating_deviation,basic_sentiment_compound,basic_verified_purchase,adv_review_velocity_30d,adv_product_burst_7d,adv_reviewer_behavior_score,adv_time_gap_hours_log
39,4.3438053,2.7080503,2.9354343,-0.6697,1.0,0.0,0.0,-0.14933261,8.157623
40,5.3033047,3.637586,0.9354343,0.6705,1.0,0.0,0.0,0.14148892,8.157623
41,2.3978953,1.0986123,1.0645658,0.0,1.0,0.0,0.0,-0.838242,8.157623
42,6.4409466,4.8202815,1.9354342,0.9084,1.0,0.0,0.0,0.8398367,8.157623
43,5.68358,4.0253515,1.0645658,0.8896,1.0,0.0,0.0,0.3830154,8.157623
44,6.317165,4.6634393,2.9354343,0.7874,1.0,0.0,0.0,1.0603621,8.157623
45,5.6903596,4.0775375,1.9354342,-0.1629,1.0,0.0,0.0,0.11288009,8.157623
46,3.2580965,1.609438,1.0645658,0.5106,1.0,0.0,0.0,-0.37520662,8.157623
47,5.8081427,4.158883,1.9354342,0.228,1.0,0.0,0.0,0.34192562,8.157623
48,4.4188404,2.8903718,1.0645658,0.8346,1.0,0.0,0.0,0.06125105,8.157623
49,3.3672957,1.7917595,2.9354343,-0.2263,1.0,0.0,0.0,-0.14703768,8.157623
50,5.5093884,3.8918202,1.0645658,0.9231,1.0,0.0,0.0,0.3598958,8.157623
51,4.5849676,2.944439,1.9354342,0.4404,1.0,0.0,0.0,0.16779433,8.157623
52,4.7957907,3.1780539,1.0645658,0.8775,0.0,0.0,1.0,0.17083065,8.157623
53,5.6903596,4.158883,1.0645658,0.8775,1.0,0.0,0.0,0.37834388,8.157623
54,5.1298985,3.4339871,1.0645658,0.882,1.0,0.0,0.0,0.25065598,8.157623
55,4.454347,2.8332133,1.9354342,0.0,1.0,0.0,0.0,-0.08977345,8.157623
56,5.602119,3.9318256,2.9354343,0.6177,1.0,0.0,0.0,0.80691946,8.157623
57,3.8501475,2.0794415,1.0645658,0.6369,1.0,0.0,0.0,-0.17269152,8.157623
58,4.1271343,2.3978953,1.0645658,0.8095,1.0,0.0,0.0,-0.019368889,8.157623
59,3.8918202,2.3978953,1.0645658,0.6696,0.0,0.0,0.0,-0.14614992,8.157623
60,5.4161005,3.8501475,1.0645658,0.4854,0.0,0.0,0.0,0.112381324,8.157623
61,4.8121843,3.1780539,2.9354343,0.3382,1.0,0.0,0.0,0.4794427,8.157623
62,4.6051702,2.9957323,0.06456572,0.5244,1.0,0.0,0.0,-0.36728534,8.157623
63,4.26268,2.4849067,1.0645658,0.8585,1.0,0.0,0.0,0.037359994,8.157623
64,4.634729,3.1354942,0.06456572,0.25,1.0,0.0,0.0,-0.50203234,8.157623
65,5.351858,3.4965076,1.0645658,0.8934,0.0,0.0,0.0,0.30802688,8.157623
66,6.0354815,4.3694477,1.0645658,-0.7284,1.0,0.0,0.0,-0.37032062,8.157623
67,4.9972124,3.3672957,1.0645658,0.9565,1.0,0.0,0.0,0.2583223,8.157623
68,5.0875964,3.4965076,1.0645658,0.5574,0.0,0.0,0.0,0.0733337,8.157623
69,4.1108737,2.3025851,1.0645658,0.765,1.0,0.0,0.0,-0.046105005,8.157623
70,4.317488,2.7080503,1.0645658,0.7579,1.0,0.0,0.0,-0.001840625,8.157623
71,4.65396,2.9957323,1.0645658,0.6037,1.0,0.0,0.0,-0.0033638256,8.157623
72,5.8607864,4.248495,1.0645658,0.6494,1.0,0.0,0.0,0.3001671,8.157623
73,4.5325994,2.8903718,1.0645658,0.4271,1.0,0.0,0.0,-0.1226501,8.157623
74,5.9989367,4.3438053,1.0645658,0.8387,1.0,0.0,0.0,0.42990184,8.157623
75,5.1474943,3.6109178,2.9354343,0.34,1.0,0.0,0.0,0.5581535,8.157623
76,2.944439,1.609438,1.0645658,0.6988,1.0,0.0,0.0,-0.35084543,8.157623
77,4.0253515,2.5649493,0.9354343,0.6908,1.0,0.0,0.0,-0.14448221,8.157623
78,5.351858,3.6635616,0.06456572,0.761,1.0,0.0,0.0,-0.071978964,8.157623
79,5.1416636,3.465736,1.0645658,0.4912,1.0,0.0,0.0,0.05171326,8.157623
80,5.521461,3.8286414,2.9354343,-0.2928,0.0,0.0,0.0,0.31834695,8.157623
81,3.465736,1.7917595,1.0645658,0.8316,1.0,0.0,0.0,-0.16138887,8.157623
82,4.9698133,3.3672957,1.0645658,0.4404,1.0,0.0,0.0,-0.014366127,8.157623
83,5.1474943,3.5553482,2.9354343,-0.2008,0.0,0.0,0.0,0.2790744,8.157623
84,3.7376697,2.1972246,1.9354342,0.0,1.0,0.0,0.0,-0.25602123,8.157623
85,3.1780539,1.609438,1.0645658,0.7901,1.0,0.0,0.0,-0.24953854,8.157623
86,5.170484,3.637586,1.9354342,0.8096,1.0,0.0,0.0,0.4941418,8.157623
87,5.1416636,3.6109178,1.0645658,0.9246,1.0,0.0,0.0,0.27536872,8.157623
